name	scheme	ST	allele1	allele2	allele3	allele4	allele5	allele6	allele7	ST_new	bacsort_species	match	collection	Int_Ext	biosample	Source	Country	Date	strain	Flag	Source_img
GCF_013925325	cfreundii	-	aspC(84)	clpX(~154)	fadD(~174)	mdh(132)	arcA(71)	dnaG(136)	lysP(145)	placeholder_ST86	Citrobacter gillenii	100.00%	RefSeq	Ext	SAMN15148727	Environment	United Kingdom	2017	RHBSTW-00880	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/United_Kindgom.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/wastewater.png
GCF_014104155	cfreundii	-	aspC(61)	clpX(61)	fadD(168)	mdh(40)	arcA(30)	dnaG(38)	lysP(56)	placeholder_ST48	Citrobacter braakii	100.00%	RefSeq	Ext	"NA"	"NA"	"NA"	"NA"	"NA"	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png
GCF_016504605	cfreundii	389	aspC(152)	clpX(163)	fadD(188)	mdh(150)	arcA(86)	dnaG(148)	lysP(158)	389	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN10435607	Human	USA	2017	CB00064	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_002042885	cfreundii	-	aspC(77)	clpX(70)	fadD(92)	mdh(~101)	arcA(1)	dnaG(~77)	lysP(~16)	placeholder_ST87	Citrobacter portucalensis	100.00%	RefSeq	Ext	SAMN06214708	"NA"	Portugal	2008	A60	Portugal	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png
GCF_002215385	cfreundii	257	aspC(51)	clpX(53)	fadD(33)	mdh(15)	arcA(5)	dnaG(6)	lysP(114)	257	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN07280739	Environment	China	2015	18-1	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/china.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/wastewater.png
GCF_004331585	cfreundii	81	aspC(44)	clpX(44)	fadD(52)	mdh(42)	arcA(30)	dnaG(39)	lysP(37)	81	Citrobacter braakii	100.00%	RefSeq	Ext	"NA"	"NA"	"NA"	"NA"	"NA"	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png
GCF_018438605	cfreundii	-	aspC(5)	clpX(63)	fadD(~103)	mdh(15)	arcA(88)	dnaG(6)	lysP(5)	placeholder_ST88	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN17371862	Human	Germany	2017	sc17238571	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/Germany.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
ERQ0671	cfreundii	110	aspC(61)	clpX(61)	fadD(68)	mdh(40)	arcA(30)	dnaG(38)	lysP(56)	110	Citrobacter braakii	99.62%	Wastewater	Int	"NA"	Wastewater	Australia	2019	"NA"	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/Australia.jpg	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/wastewater.png
GCF_001559075	cfreundii	-	aspC(~137)	clpX(~152)	fadD(~215)	mdh(~136)	arcA(~115)	dnaG(-)	lysP(~185)	placeholder_ST89	Citrobacter amalonaticus	100.00%	RefSeq	Ext	SAMN03996265	Human	USA	2013	FDAARGOS_122	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_015230695	cfreundii	-	aspC(8)	clpX(7)	fadD(10)	mdh(8)	arcA(7)	dnaG(~6)	lysP(11)	placeholder_ST51	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN14257459	Environment	South Africa	2018	8E1-2	South Africa	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/wastewater.png
GCF_016503495	cfreundii	-	aspC(28)	clpX(10)	fadD(~33)	mdh(114)	arcA(18)	dnaG(54)	lysP(74)	placeholder_ST90	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN12220321	Human	USA	2018	CB00116	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_019660135	cfreundii	22	aspC(15)	clpX(12)	fadD(20)	mdh(15)	arcA(5)	dnaG(11)	lysP(17)	22	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN20568193	Human	China	2015	CF-15-2-29	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/china.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_016501755	cfreundii	-	aspC(~150)	clpX(~44)	fadD(~43)	mdh(~125)	arcA(38)	dnaG(125)	lysP(~127)	placeholder_ST91	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN16339991	Human	USA	2019	CB00149	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_000759735	cfreundii	-	aspC(28)	clpX(~122)	fadD(14)	mdh(6)	arcA(7)	dnaG(6)	lysP(~11)	placeholder_ST92	Citrobacter freundii	100.00%	RefSeq	Ext	SAMD00018684	"NA"	"NA"	"NA"	"NA"	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png
GCF_004024405	cfreundii	-	aspC(4)	clpX(4)	fadD(~225)	mdh(185)	arcA(6)	dnaG(174)	lysP(4)	placeholder_ST93	Citrobacter portucalensis	100.00%	RefSeq	Ext	SAMN09289737	Environment	USA	2017	GEO_16_Eff_A	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/wastewater.png
GCF_005281305	cfreundii	-	aspC(21)	clpX(~106)	fadD(29)	mdh(~87)	arcA(13)	dnaG(23)	lysP(~21)	placeholder_ST94	Citrobacter werkmanii	100.00%	RefSeq	Ext	SAMN11369625	"NA"	Poland	"NA"	wls706	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/poland.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png
GCF_014803285	cfreundii	22	aspC(15)	clpX(12)	fadD(20)	mdh(15)	arcA(5)	dnaG(11)	lysP(17)	22	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN16205283	Human	France	2016	124G3	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/france.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_001065805	cfreundii	-	aspC(~61)	clpX(22)	fadD(157)	mdh(57)	arcA(53)	dnaG(133)	lysP(~129)	placeholder_ST95	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN03197842	Human	USA	"NA"	641_SENT	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_004145665	cfreundii	19	aspC(11)	clpX(12)	fadD(14)	mdh(6)	arcA(5)	dnaG(9)	lysP(11)	19	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN10840491	Human	France	2017	071G10	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/france.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_016501405	cfreundii	-	aspC(~133)	clpX(95)	fadD(~221)	mdh(~81)	arcA(66)	dnaG(125)	lysP(109)	placeholder_ST96	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN16340005	Human	USA	2019	CB00163	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_005280805	cfreundii	-	aspC(135)	clpX(~154)	fadD(~174)	mdh(132)	arcA(71?)	dnaG(~136)	lysP(144)	placeholder_ST97	Citrobacter gillenii	100.00%	RefSeq	Ext	SAMN11369645	"NA"	Poland	"NA"	TBCS-14	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/poland.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png
GCF_016503985	cfreundii	91	aspC(48)	clpX(10)	fadD(14)	mdh(13)	arcA(32)	dnaG(6)	lysP(11)	91	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN12220301	Human	USA	2018	CB00094	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_015137095	cfreundii	-	aspC(9)	clpX(11)	fadD(85)	mdh(11)	arcA(~47)	dnaG(8)	lysP(68)	placeholder_ST98	Citrobacter portucalensis	100.00%	RefSeq	Ext	SAMD00195946	"NA"	"NA"	"NA"	"NA"	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png
GCF_900112055	cfreundii	-	aspC(~178)	clpX(~152)	fadD(~215)	mdh(~179)	arcA(75)	dnaG(-)	lysP(~185)	placeholder_ST99	Citrobacter amalonaticus	100.00%	RefSeq	Ext	SAMN05216502	"NA"	"NA"	"NA"	NLAE-zl-C269	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png
GCF_000388155	cfreundii	169	aspC(80)	clpX(10)	fadD(56)	mdh(13)	arcA(7)	dnaG(6)	lysP(61)	169	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN02469849	"NA"	"NA"	"NA"	GTC 09629	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png
GCF_014803075	cfreundii	22	aspC(15)	clpX(12)	fadD(20)	mdh(15)	arcA(5)	dnaG(11)	lysP(17)	22	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN16205297	Human	France	2018	169J8	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/france.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_018066535	cfreundii	22	aspC(15)	clpX(12)	fadD(20)	mdh(15)	arcA(5)	dnaG(11)	lysP(17)	22	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN18511097	Human	USA	2020	2021EL-00126	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_005281325	cfreundii	-	aspC(45)	clpX(22)	fadD(168)	mdh(40)	arcA(38)	dnaG(120)	lysP(42)	placeholder_ST100	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN11369623	"NA"	Poland	"NA"	wls620	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/poland.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png
GCF_018423075	cfreundii	-	aspC(16)	clpX(5)	fadD(69)	mdh(15)	arcA(5)	dnaG(22)	lysP(46)	placeholder_ST101	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN17372996	Human	Germany	2019	Survcare311	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/Germany.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_016428845	cfreundii	-	aspC(~65)	clpX(~163)	fadD(~74)	mdh(150)	arcA(39)	dnaG(~148)	lysP(60)	placeholder_ST102	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN17004939	Plant	USA	2019	ASV29	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	Plant
GCF_005281215	cfreundii	-	aspC(148)	clpX(135)	fadD(~58)	mdh(~57)	arcA(30)	dnaG(~150)	lysP(88)	placeholder_ST103	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN11369644	"NA"	Poland	"NA"	wls831	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/poland.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png
GCF_013728095	cfreundii	-	aspC(~150)	clpX(158)	fadD(50)	mdh(40)	arcA(38)	dnaG(~132)	lysP(~97)	placeholder_ST52	Citrobacter braakii	100.00%	RefSeq	Ext	"NA"	"NA"	"NA"	"NA"	"NA"	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png
GCF_018421575	cfreundii	111	aspC(62)	clpX(26)	fadD(14)	mdh(13)	arcA(7)	dnaG(11)	lysP(11)	111	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN17373073	Human	Germany	2019	Survcare405	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/Germany.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_013821695	cfreundii	-	aspC(~141)	clpX(~154)	fadD(~174)	mdh(~132)	arcA(71)	dnaG(136)	lysP(~145)	placeholder_ST104	Citrobacter gillenii	100.00%	RefSeq	Ext	SAMN15148307	Bovine	United Kingdom	2017	RHB31-C16	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/United_Kindgom.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/cow.png
GCF_016504485	cfreundii	98	aspC(54)	clpX(55)	fadD(60)	mdh(52)	arcA(7)	dnaG(6)	lysP(11)	98	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN10435612	Human	USA	2018	CB00070	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_019270375	cfreundii	-	aspC(45)	clpX(22)	fadD(111)	mdh(94)	arcA(119)	dnaG(38)	lysP(189)	placeholder_ST105	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN17824623	Other	Thailand	"NA"	Colony409	Thailand	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/other.png
DB_3_D2	cfreundii	-	aspC(16)	clpX(12)	fadD(7)	mdh(10)	arcA(5)	dnaG(55)	lysP(~5)	placeholder_ST23	Citrobacter freundii	99.43%	Wastewater	Int	"NA"	Wastewater	Australia	2020	"NA"	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/Australia.jpg	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/wastewater.png
GCF_014802905	cfreundii	22	aspC(15)	clpX(12)	fadD(20)	mdh(15)	arcA(5)	dnaG(11)	lysP(17)	22	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN16205306	Human	France	2018	179I4	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/france.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_902506695	cfreundii	-	aspC(~178)	clpX(~152)	fadD(214)	mdh(~178)	arcA(~75)	dnaG(-)	lysP(~187)	placeholder_ST7	Citrobacter amalonaticus	100.00%	RefSeq	Ext	SAMEA6098293	"NA"	"NA"	"NA"	"NA"	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png
GCF_014333035	cfreundii	-	aspC(~137)	clpX(~152)	fadD(215?)	mdh(~177)	arcA(~75)	dnaG(-)	lysP(~186)	placeholder_ST106	Citrobacter amalonaticus	100.00%	RefSeq	Ext	SAMN13884683	Avian	Australia	2017	966a	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/Australia.jpg	Avian
GCF_014189375	cfreundii	22	aspC(15)	clpX(12)	fadD(20)	mdh(15)	arcA(5)	dnaG(11)	lysP(17)	22	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN11506036	Human	Canada	2018	N18-04085	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/canada.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_002189125	cfreundii	-	aspC(16)	clpX(63)	fadD(171)	mdh(6)	arcA(5)	dnaG(9)	lysP(11)	placeholder_ST107	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN06649984	Swine	China	2014	D36-1	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/china.png	Swine
GCF_019270355	cfreundii	-	aspC(45)	clpX(22)	fadD(111)	mdh(94)	arcA(119)	dnaG(38)	lysP(189)	placeholder_ST105	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN17824622	Other	Thailand	"NA"	Colony372	Thailand	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/other.png
ERQ0183	cfreundii	-	aspC(7)	clpX(31)	fadD(8)	mdh(73)	arcA(1)	dnaG(1)	lysP(6)	placeholder_ST108	Citrobacter portucalensis	98.79%	Wastewater	Int	"NA"	Wastewater	Australia	2019	"NA"	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/Australia.jpg	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/wastewater.png
GCF_016501935	cfreundii	-	aspC(119)	clpX(39)	fadD(~51)	mdh(19)	arcA(14)	dnaG(16)	lysP(~19)	placeholder_ST109	Citrobacter youngae	100.00%	RefSeq	Ext	SAMN16339981	Human	USA	2018	CB00138	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_016501295	cfreundii	-	aspC(~134)	clpX(44)	fadD(153)	mdh(40)	arcA(~30)	dnaG(38)	lysP(94)	placeholder_ST110	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN16340006	Human	USA	2019	CB00164	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
ERQ0213	cfreundii	110	aspC(61)	clpX(61)	fadD(68)	mdh(40)	arcA(30)	dnaG(38)	lysP(56)	110	Citrobacter braakii	99.69%	Wastewater	Int	"NA"	Wastewater	Australia	2019	"NA"	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/Australia.jpg	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/wastewater.png
GCF_009721345	cfreundii	362	aspC(45)	clpX(140)	fadD(164)	mdh(40)	arcA(38)	dnaG(119)	lysP(42)	362	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN12911129	environment	USA	2016	JL976	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	environment
GCF_005281255	cfreundii	-	aspC(58)	clpX(~60)	fadD(~67)	mdh(17)	arcA(109)	dnaG(~21)	lysP(53)	placeholder_ST111	Citrobacter cronae	100.00%	RefSeq	Ext	SAMN11369627	"NA"	Poland	"NA"	wls708	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/poland.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png
GCF_009856875	cfreundii	108	aspC(13)	clpX(60)	fadD(67)	mdh(14)	arcA(11)	dnaG(53)	lysP(24)	108	Citrobacter cronae	100.00%	RefSeq	Ext	SAMN13623934	Environmental facility	France	2016	BOX-5	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/france.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/wastewater.png
GCF_016503935	cfreundii	22	aspC(15)	clpX(12)	fadD(20)	mdh(15)	arcA(5)	dnaG(11)	lysP(17)	22	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN12220304	Human	USA	2018	CB00098	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_013425705	cfreundii	95	aspC(51)	clpX(53)	fadD(33)	mdh(15)	arcA(5)	dnaG(6)	lysP(5)	95	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN15514059	Human	"NA"	2016	AMC0703	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_016501785	cfreundii	-	aspC(103)	clpX(54)	fadD(123)	mdh(~90)	arcA(64)	dnaG(92)	lysP(107)	placeholder_ST112	Citrobacter europaeus	100.00%	RefSeq	Ext	SAMN16339987	Human	USA	2018	CB00144	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_001412735	cfreundii	100	aspC(16)	clpX(57)	fadD(20)	mdh(54)	arcA(12)	dnaG(28)	lysP(11)	100	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN02872769	"NA"	USA	2011	RU2 LB29	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png
GCF_003812325	cfreundii	307	aspC(142)	clpX(150)	fadD(182)	mdh(140)	arcA(79)	dnaG(6)	lysP(74)	307	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN10163243	Human	"NA"	"NA"	FDAARGOS_550	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_018423215	cfreundii	408	aspC(9)	clpX(168)	fadD(193)	mdh(11)	arcA(3)	dnaG(66)	lysP(163)	408	Citrobacter portucalensis	100.00%	RefSeq	Ext	SAMN17372993	Human	Germany	2019	Survcare308	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/Germany.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_014337295	cfreundii	-	aspC(~77)	clpX(70)	fadD(9)	mdh(7)	arcA(2)	dnaG(1)	lysP(~123)	placeholder_ST113	Citrobacter portucalensis	100.00%	RefSeq	Ext	SAMN08148336	Human	USA	"NA"	MGH283	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_003363295	cfreundii	265	aspC(26)	clpX(12)	fadD(13)	mdh(109)	arcA(85)	dnaG(22)	lysP(32)	265	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN09736005	Reptile	Brazil	2016	TV1575CF	Brazil	Reptile
GCF_016501115	cfreundii	20	aspC(13)	clpX(15)	fadD(18)	mdh(14)	arcA(11)	dnaG(12)	lysP(15)	20	Citrobacter cronae	100.00%	RefSeq	Ext	SAMN16340012	Human	USA	2019	CB00171	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_014902055	cfreundii	-	aspC(9)	clpX(~11)	fadD(193)	mdh(11)	arcA(47)	dnaG(66)	lysP(~161)	placeholder_ST114	Citrobacter portucalensis	100.00%	RefSeq	Ext	SAMN08148190	Human	USA	"NA"	UCICRE-142	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_009821555	cfreundii	109	aspC(60)	clpX(44)	fadD(43)	mdh(57)	arcA(38)	dnaG(38)	lysP(55)	109	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN11928073	Avian	"NA"	"NA"	SC96	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png	Avian
GCF_001059745	cfreundii	-	aspC(90)	clpX(22)	fadD(~58)	mdh(~116)	arcA(82)	dnaG(140)	lysP(94)	placeholder_ST115	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN03198210	Human	USA	"NA"	989_CKOS	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
ERQ0678	cfreundii	116	aspC(16)	clpX(12)	fadD(7)	mdh(10)	arcA(5)	dnaG(55)	lysP(5)	116	Citrobacter freundii	99.44%	Wastewater	Int	"NA"	Wastewater	Australia	2019	"NA"	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/Australia.jpg	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/wastewater.png
GCF_013337015	cfreundii	185	aspC(26)	clpX(12)	fadD(62)	mdh(55)	arcA(5)	dnaG(9)	lysP(50)	185	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN14082847	Human	USA	2013	YDC608	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_001411885	cfreundii	18	aspC(10)	clpX(14)	fadD(17)	mdh(12)	arcA(5)	dnaG(5)	lysP(14)	18	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN04088747	Other	China	2014	ST2	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/china.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/other.png
GCF_019270215	cfreundii	-	aspC(45)	clpX(22)	fadD(111)	mdh(94)	arcA(119)	dnaG(38)	lysP(189)	placeholder_ST105	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN17824630	Other	Thailand	"NA"	Colony360	Thailand	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/other.png
GCF_019270575	cfreundii	-	aspC(45)	clpX(22)	fadD(111)	mdh(94)	arcA(119)	dnaG(38)	lysP(189)	placeholder_ST105	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN17824620	Other	Thailand	"NA"	Colony368	Thailand	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/other.png
GCF_002850715	cfreundii	-	aspC(133)	clpX(~199)	fadD(144)	mdh(40)	arcA(38)	dnaG(40)	lysP(94)	placeholder_ST116	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN06820452	Environment	China	2015	L55	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/china.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/wastewater.png
ERQ0045	cfreundii	95	aspC(51)	clpX(53)	fadD(33)	mdh(15)	arcA(5)	dnaG(6)	lysP(5)	95	Citrobacter freundii	99.69%	Wastewater	Int	"NA"	Wastewater	Australia	2019	"NA"	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/Australia.jpg	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/wastewater.png
GCF_016501905	cfreundii	-	aspC(103)	clpX(54)	fadD(123)	mdh(~90)	arcA(64)	dnaG(92)	lysP(107)	placeholder_ST112	Citrobacter europaeus	100.00%	RefSeq	Ext	SAMN16339984	Human	USA	2018	CB00141	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_009821375	cfreundii	79	aspC(43)	clpX(22)	fadD(50)	mdh(41)	arcA(29)	dnaG(38)	lysP(42)	79	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN11928082	Avian	"NA"	"NA"	SC105	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png	Avian
