snp-dists 0.6.3,DB_3_D1,DB_3_F10,ERQ0043,ERQ0044,ERQ0045,ERQ0152,ERQ0154,ERQ0155,ERQ0156,ERQ0159,ERQ0160,ERQ0161,ERQ0162,ERQ0165,ERQ0169,ERQ0173,ERQ0186,ERQ0189,ERQ0192,ERQ0199,ERQ0200,ERQ0211,ERQ0212,ERQ0213,ERQ0216,ERQ0217,ERQ0222,ERQ0224,ERQ0225,ERQ0227,ERQ0230,ERQ0233,ERQ0241,ERQ0243,ERQ0246,ERQ0250,ERQ0251,ERQ0255,ERQ0259,ERQ0278,ERQ0310,ERQ0572,ERQ0672,ERQ0678,ERQ0681,ERQ0682,ERQ0685,ERQ0689,GCF_000018045,GCF_000155975,GCF_000158355,GCF_000238735,GCF_000342325,GCF_000388155,GCF_000521945,GCF_000521965,GCF_000582615,GCF_000692115,GCF_000731055,GCF_000734905,GCF_000764735,GCF_000783445,GCF_000783755,GCF_000783995,GCF_000786265,GCF_000786275,GCF_000826205,GCF_000835925,GCF_000937455,GCF_000937505,GCF_000972645,GCF_000981805,GCF_000982845,GCF_001022155,GCF_001022275,GCF_001276105,GCF_001276125,GCF_001281005,GCF_001471655,GCF_001546285,GCF_001546305,GCF_001552875,GCF_001558935,GCF_001559075,GCF_001718055,GCF_002042885,GCF_002073755,GCF_002114305,GCF_002151695,GCF_002185305,GCF_002208845,GCF_002208985,GCF_002786865,GCF_002796485,GCF_002796505,GCF_002843195,GCF_002863965,GCF_002871775,GCF_002880615,GCF_002903215,GCF_002903305,GCF_002918455,GCF_002918465,GCF_002918495,GCF_002918505,GCF_002918555,GCF_002918575,GCF_002918835,GCF_002918855,GCF_002918865,GCF_002918875,GCF_002918935,GCF_002919425,GCF_002919455,GCF_002919485,GCF_002919795,GCF_002919825,GCF_002923765,GCF_002934505,GCF_002939255,GCF_002946635,GCF_002947035,GCF_002947675,GCF_003015305,GCF_003019835,GCF_003175795,GCF_003184045,GCF_003226155,GCF_003255895,GCF_003665535,GCF_003665595,GCF_003665615,GCF_003665635,GCF_003665655,GCF_004322975,GCF_005280805,GCF_005280825,GCF_005280855,GCF_005280875,GCF_005280915,GCF_005280935,GCF_005280955,GCF_005280975,GCF_005281015,GCF_005281025,GCF_005281055,GCF_005281115,GCF_005281125,GCF_005281155,GCF_005281165,GCF_005281175,GCF_005281195,GCF_005281245,GCF_005281255,GCF_005281325,GCF_005281355,GCF_005406305,GCF_008931685,GCF_014332945,GCF_014333035,GCF_900079995,GCF_900080005,GCF_902387635,SD_2_G2,SD_5_A12,SD_5_D4,SD_9_A7,SD_9_B7,SD_9_C7,SD_9_H6,SG18_100_2_S18,SG18_109_2_S19,SG18_138_1_S32,SG18_138_2_S33,SG18_223_S110,SG18_227_S53,SG18_229_S54,SG18_265_S115,SG18_42_S4,SG18_8_S1
ERQ0213,1083,1092,1106,1058,1106,1062,1062,1,1063,2,1059,1085,2,1,169,1085,1085,1062,1059,2,1101,2,1069,0,2,2,1059,2,1083,1083,1089,1084,1083,1062,2,1104,1,1062,1101,1062,1063,190,151,1083,1083,1084,1083,1083,2742,1278,1058,1062,1099,1075,1062,1094,1090,889,2882,1090,2972,2754,1095,873,172,159,1592,3222,1084,1097,185,2927,1061,1084,1084,2905,2905,1056,2902,1083,2743,2743,2900,2861,1062,1055,874,1328,2906,1334,152,2744,886,1056,1092,1070,2753,1109,2862,1,1059,172,172,172,931,2820,174,1087,1087,1084,1106,2820,172,172,172,1,1099,142,1087,147,1056,2749,2743,1091,1105,1104,2751,2744,1051,1108,1099,1102,1096,1083,1084,2154,2152,1581,1552,148,1051,1325,1578,1593,1336,2169,1325,1325,149,88,1557,2166,123,1313,137,1367,2741,1105,1190,2906,897,873,873,2894,114,1080,1559,106,1105,1559,1553,1553,1545,1545,1555,1558,1568,2160,1587,2170
ERQ0216,1083,1092,1106,1058,1106,1062,1062,1,1063,0,1059,1085,2,1,169,1085,1085,1062,1059,2,1101,2,1069,2,0,2,1059,2,1083,1083,1089,1084,1083,1062,2,1104,1,1062,1101,1062,1063,190,151,1083,1083,1084,1083,1083,2742,1278,1058,1062,1099,1075,1062,1094,1090,889,2882,1090,2972,2754,1095,873,172,159,1592,3222,1084,1097,185,2927,1061,1084,1084,2905,2905,1056,2902,1083,2743,2743,2900,2861,1062,1055,874,1328,2906,1334,152,2744,886,1056,1092,1070,2753,1109,2862,1,1059,172,172,172,931,2820,174,1087,1087,1084,1106,2820,172,172,172,1,1099,142,1087,147,1056,2749,2743,1091,1105,1104,2751,2744,1051,1108,1099,1102,1096,1083,1084,2154,2152,1581,1552,148,1051,1325,1578,1593,1336,2169,1325,1325,149,88,1557,2166,123,1313,137,1367,2741,1105,1190,2906,897,873,873,2894,114,1080,1559,106,1105,1559,1553,1553,1545,1545,1555,1558,1568,2160,1587,2170
ERQ0217,1083,1092,1106,1058,1106,1062,1062,1,1063,2,1059,1085,2,1,169,1085,1085,1062,1059,2,1101,2,1069,2,2,0,1059,2,1083,1083,1089,1084,1083,1062,2,1104,1,1062,1101,1062,1063,190,151,1083,1083,1084,1083,1083,2742,1278,1058,1062,1099,1075,1062,1094,1090,889,2882,1090,2972,2754,1095,873,172,159,1592,3222,1084,1097,185,2927,1061,1084,1084,2905,2905,1056,2902,1083,2743,2743,2900,2861,1062,1055,874,1328,2906,1334,152,2744,886,1056,1092,1070,2753,1109,2862,1,1059,172,172,172,931,2820,174,1087,1087,1084,1106,2820,172,172,172,1,1099,142,1087,147,1056,2749,2743,1091,1105,1104,2751,2744,1051,1108,1099,1102,1096,1083,1084,2154,2152,1581,1552,148,1051,1325,1578,1593,1336,2169,1325,1325,149,88,1557,2166,123,1313,137,1367,2741,1105,1190,2906,897,873,873,2894,114,1080,1559,106,1105,1559,1553,1553,1545,1545,1555,1558,1568,2160,1587,2170
ERQ0222,653,652,666,1,666,654,654,1058,655,1059,0,670,1059,1058,1059,672,672,654,0,1059,657,1059,661,1059,1059,1059,0,1059,653,670,648,671,671,654,1059,654,1058,654,660,654,655,1040,1069,653,653,654,653,653,2678,1227,173,298,649,665,155,657,650,1001,2839,650,2923,2687,658,1000,1049,1060,1504,3169,669,639,1054,2881,653,669,669,2857,2857,195,2859,655,2680,2680,2855,2830,654,169,994,1286,2858,1281,1053,2681,1011,181,655,174,2686,650,2828,1058,2,1070,1070,1070,997,2788,1067,676,676,669,679,2788,1070,1070,1070,1058,660,1062,676,1065,181,2673,2680,654,678,654,2675,2672,178,681,660,653,659,655,669,2114,2119,1446,1403,1057,142,1283,1428,1505,1264,2130,1266,1283,1058,1070,1396,2126,1065,1280,1064,1286,2672,665,1205,2858,1005,995,1000,2849,1051,640,1365,1070,665,1365,1401,1401,1402,1402,1394,1398,1475,2121,1456,2130
ERQ0224,1083,1092,1106,1058,1106,1062,1062,1,1063,2,1059,1085,0,1,169,1085,1085,1062,1059,0,1101,0,1069,2,2,2,1059,0,1083,1083,1089,1084,1083,1062,2,1104,1,1062,1101,1062,1063,190,151,1083,1083,1084,1083,1083,2741,1278,1058,1062,1099,1075,1062,1094,1090,889,2882,1090,2972,2753,1095,873,172,159,1592,3221,1084,1097,185,2927,1061,1084,1084,2905,2905,1056,2902,1083,2742,2742,2900,2861,1062,1055,874,1328,2906,1334,152,2743,886,1056,1092,1070,2752,1109,2862,1,1059,172,172,172,930,2820,174,1087,1087,1084,1106,2820,172,172,172,1,1099,142,1087,147,1056,2748,2742,1091,1105,1104,2750,2743,1051,1108,1099,1102,1096,1083,1084,2154,2152,1581,1552,148,1051,1325,1578,1593,1336,2169,1325,1325,149,88,1557,2166,123,1313,137,1367,2740,1105,1190,2906,897,873,873,2894,114,1080,1559,106,1105,1559,1553,1553,1545,1545,1555,1558,1568,2160,1587,2170
ERQ0225,2,105,124,652,124,96,96,1082,97,1083,653,143,1083,1082,1084,134,134,96,653,1083,145,1083,103,1083,1083,1083,653,1083,0,169,98,170,153,96,1083,144,1082,96,111,96,97,1070,1093,2,2,3,2,2,2719,1245,671,702,121,164,677,171,142,1039,2870,142,2950,2723,172,1033,1077,1087,1458,3174,142,125,1082,2905,95,142,142,2893,2893,685,2890,144,2714,2714,2883,2856,96,681,1030,1294,2894,1299,1078,2715,1044,672,169,677,2724,149,2841,1082,653,1087,1087,1087,1044,2819,1084,138,138,142,175,2819,1087,1087,1087,1082,115,1082,138,1093,672,2705,2714,104,174,144,2707,2713,663,177,149,137,173,144,142,2145,2145,1402,1346,1088,663,1301,1371,1459,1284,2160,1283,1301,1089,1093,1328,2161,1095,1293,1094,1319,2710,123,1072,2888,1044,1023,1033,2881,1072,142,1297,1093,123,1297,1312,1312,1310,1310,1326,1307,1432,2151,1421,2160
ERQ0227,169,194,194,669,194,165,165,1082,166,1083,670,150,1083,1082,1086,178,178,165,670,1083,218,1083,172,1083,1083,1083,670,1083,169,0,179,1,120,165,1083,215,1082,165,206,165,166,1091,1093,169,169,170,169,169,2730,1269,676,731,192,113,695,121,196,1048,2871,196,2950,2733,122,1044,1089,1111,1456,3184,149,208,1096,2902,164,149,149,2892,2892,703,2893,201,2727,2727,2884,2852,165,697,1039,1316,2893,1319,1101,2728,1050,685,119,698,2734,204,2842,1082,670,1090,1090,1090,1064,2825,1087,182,182,149,88,2825,1090,1090,1090,1082,191,1082,182,1091,685,2714,2727,181,87,215,2716,2720,686,90,218,202,123,201,149,2167,2165,1396,1371,1110,680,1323,1396,1457,1314,2183,1307,1323,1111,1095,1352,2180,1095,1311,1094,1334,2722,193,1080,2889,1058,1039,1044,2882,1075,161,1317,1091,193,1317,1317,1317,1315,1315,1350,1308,1426,2172,1424,2183
ERQ0230,98,105,140,647,140,112,112,1088,113,1089,648,137,1089,1088,1090,144,144,112,648,1089,138,1089,119,1089,1089,1089,648,1089,98,179,0,180,167,112,1089,136,1088,112,117,112,113,1078,1099,98,98,99,98,98,2714,1250,664,697,127,180,672,178,134,1035,2868,134,2948,2716,179,1039,1083,1091,1459,3178,136,105,1088,2896,111,136,136,2891,2891,675,2888,134,2709,2709,2881,2851,112,676,1025,1312,2892,1310,1084,2710,1046,660,176,670,2717,139,2834,1088,648,1088,1088,1088,1047,2818,1087,148,148,136,179,2818,1088,1088,1088,1088,131,1088,148,1099,660,2701,2709,114,178,136,2703,2708,658,181,137,130,180,134,136,2146,2148,1401,1343,1094,660,1316,1362,1460,1290,2163,1289,1316,1095,1099,1326,2164,1101,1312,1100,1324,2703,139,1076,2886,1039,1029,1039,2879,1078,125,1285,1099,139,1285,1307,1307,1309,1309,1324,1306,1431,2152,1417,2163
ERQ0233,170,195,195,670,195,166,166,1083,167,1084,671,151,1084,1083,1087,179,179,166,671,1084,219,1084,173,1084,1084,1084,671,1084,170,1,180,0,121,166,1084,216,1083,166,207,166,167,1092,1094,170,170,171,170,170,2731,1270,677,732,193,114,696,122,197,1049,2872,197,2951,2734,123,1045,1090,1112,1457,3185,150,209,1097,2903,165,150,150,2893,2893,704,2894,202,2728,2728,2885,2853,166,698,1040,1317,2894,1320,1102,2729,1051,686,120,699,2735,205,2843,1083,671,1091,1091,1091,1065,2826,1088,183,183,150,89,2826,1091,1091,1091,1083,192,1083,183,1092,686,2715,2728,182,88,216,2717,2721,687,91,219,203,124,202,150,2168,2166,1397,1372,1111,681,1324,1397,1458,1315,2184,1308,1324,1112,1096,1353,2181,1096,1312,1095,1335,2723,194,1081,2890,1059,1040,1045,2883,1076,162,1318,1092,194,1318,1318,1318,1316,1316,1351,1309,1427,2173,1425,2184
ERQ0241,153,172,175,670,175,155,155,1082,156,1083,671,124,1083,1082,1084,150,150,155,671,1083,181,1083,162,1083,1083,1083,671,1083,153,120,167,121,0,155,1083,177,1082,155,180,155,156,1095,1093,153,153,154,153,153,2722,1255,674,719,160,89,681,94,179,1025,2873,179,2958,2723,95,1033,1089,1113,1435,3176,123,172,1099,2911,154,123,123,2900,2900,694,2895,177,2719,2719,2886,2855,155,692,1019,1309,2901,1311,1098,2720,1035,683,92,693,2724,188,2841,1082,671,1089,1089,1089,1058,2820,1086,154,154,123,120,2820,1089,1089,1089,1082,170,1082,154,1093,683,2709,2719,165,119,177,2711,2714,676,122,186,173,96,177,123,2165,2162,1383,1361,1111,676,1314,1381,1436,1294,2182,1295,1314,1112,1091,1346,2180,1093,1308,1090,1322,2712,174,1074,2890,1040,1028,1033,2884,1075,144,1305,1091,174,1305,1295,1295,1295,1295,1344,1290,1405,2171,1404,2182
ERQ0243,96,111,154,653,154,0,0,1061,1,1062,654,113,1062,1061,1063,109,109,0,654,1062,139,1062,7,1062,1062,1062,654,1062,96,165,112,166,155,0,1062,152,1061,0,107,0,1,1068,1068,96,96,97,96,96,2698,1238,662,699,129,160,680,162,140,1019,2865,140,2935,2706,163,1016,1066,1083,1431,3167,112,123,1075,2886,1,112,112,2890,2890,680,2885,146,2697,2697,2878,2847,0,686,1011,1289,2891,1297,1077,2698,1026,671,160,672,2707,151,2832,1061,654,1064,1064,1064,1039,2817,1061,113,113,112,181,2817,1064,1064,1064,1061,145,1059,113,1068,671,2692,2697,116,180,152,2694,2698,668,183,147,124,164,146,112,2129,2129,1377,1344,1082,666,1301,1365,1432,1278,2146,1277,1301,1083,1070,1327,2145,1072,1287,1067,1310,2694,153,1055,2883,1028,1009,1016,2876,1049,144,1292,1066,153,1292,1284,1284,1284,1284,1325,1281,1403,2135,1394,2146
ERQ0246,1083,1092,1106,1058,1106,1062,1062,1,1063,2,1059,1085,2,1,169,1085,1085,1062,1059,2,1101,2,1069,2,2,2,1059,2,1083,1083,1089,1084,1083,1062,0,1104,1,1062,1101,1062,1063,190,151,1083,1083,1084,1083,1083,2742,1278,1058,1062,1099,1075,1062,1094,1090,889,2882,1090,2972,2754,1095,873,172,159,1592,3222,1084,1097,185,2927,1061,1084,1084,2905,2905,1056,2902,1083,2743,2743,2900,2861,1062,1055,874,1328,2906,1334,152,2744,886,1056,1092,1070,2753,1109,2862,1,1059,172,172,172,931,2820,174,1087,1087,1084,1106,2820,172,172,172,1,1099,142,1087,147,1056,2749,2743,1091,1105,1104,2751,2744,1051,1108,1099,1102,1096,1083,1084,2154,2152,1581,1552,148,1051,1325,1578,1593,1336,2169,1325,1325,149,88,1557,2166,123,1313,137,1367,2741,1105,1190,2906,897,873,873,2894,114,1080,1559,106,1105,1559,1553,1553,1545,1545,1555,1558,1568,2160,1587,2170
ERQ0250,144,107,152,653,152,152,152,1103,153,1104,654,151,1104,1103,1100,148,148,152,654,1104,141,1104,159,1104,1104,1104,654,1104,144,215,136,216,177,152,1104,0,1103,152,139,152,153,1091,1110,144,144,145,144,144,2699,1257,668,707,155,200,674,162,152,1052,2867,152,2944,2701,163,1048,1094,1110,1465,3168,150,135,1101,2906,151,150,150,2894,2894,679,2889,158,2692,2692,2880,2854,152,681,1045,1301,2895,1312,1097,2693,1055,669,160,678,2702,119,2842,1103,654,1105,1105,1105,1050,2817,1102,152,152,150,203,2817,1105,1105,1105,1103,147,1103,152,1112,669,2685,2692,126,202,2,2687,2691,660,205,155,134,164,158,150,2149,2147,1403,1349,1105,666,1315,1372,1466,1292,2166,1291,1315,1106,1112,1335,2163,1116,1303,1111,1318,2690,151,1083,2887,1057,1038,1048,2878,1097,142,1294,1112,151,1294,1313,1313,1315,1315,1333,1312,1439,2156,1419,2166
ERQ0251,1082,1091,1105,1057,1105,1061,1061,0,1062,1,1058,1084,1,0,168,1084,1084,1061,1058,1,1100,1,1068,1,1,1,1058,1,1082,1082,1088,1083,1082,1061,1,1103,0,1061,1100,1061,1062,189,150,1082,1082,1083,1082,1082,2741,1277,1057,1061,1098,1074,1061,1093,1089,888,2881,1089,2971,2753,1094,872,171,158,1591,3221,1083,1096,184,2926,1060,1083,1083,2904,2904,1055,2901,1082,2742,2742,2899,2860,1061,1054,873,1327,2905,1333,151,2743,885,1055,1091,1069,2752,1108,2861,0,1058,171,171,171,930,2819,173,1086,1086,1083,1105,2819,171,171,171,0,1098,141,1086,146,1055,2748,2742,1090,1104,1103,2750,2743,1050,1107,1098,1101,1095,1082,1083,2153,2151,1580,1551,147,1050,1324,1577,1592,1335,2168,1324,1324,148,87,1556,2165,122,1312,136,1366,2740,1104,1189,2905,896,872,872,2893,113,1079,1558,105,1104,1558,1552,1552,1544,1544,1554,1557,1567,2159,1586,2169
ERQ0255,96,111,154,653,154,0,0,1061,1,1062,654,113,1062,1061,1063,109,109,0,654,1062,139,1062,7,1062,1062,1062,654,1062,96,165,112,166,155,0,1062,152,1061,0,107,0,1,1068,1068,96,96,97,96,96,2698,1238,662,699,129,160,680,162,140,1019,2865,140,2935,2706,163,1016,1066,1083,1431,3167,112,123,1075,2886,1,112,112,2890,2890,680,2885,146,2697,2697,2878,2847,0,686,1011,1289,2891,1297,1077,2698,1026,671,160,672,2707,151,2832,1061,654,1064,1064,1064,1039,2817,1061,113,113,112,181,2817,1064,1064,1064,1061,145,1059,113,1068,671,2692,2697,116,180,152,2694,2698,668,183,147,124,164,146,112,2129,2129,1377,1344,1082,666,1301,1365,1432,1278,2146,1277,1301,1083,1070,1327,2145,1072,1287,1067,1310,2694,153,1055,2883,1028,1009,1016,2876,1049,144,1292,1066,153,1292,1284,1284,1284,1284,1325,1281,1403,2135,1394,2146
ERQ0259,111,106,139,659,139,107,107,1100,108,1101,660,152,1101,1100,1099,115,115,107,660,1101,106,1101,114,1101,1101,1101,660,1101,111,206,117,207,180,107,1101,139,1100,107,0,107,108,1085,1106,111,111,112,111,111,2715,1238,674,710,104,191,680,193,141,1041,2881,141,2958,2716,194,1039,1092,1101,1442,3175,151,118,1095,2915,106,151,151,2906,2906,688,2901,141,2708,2708,2894,2868,107,686,1034,1296,2907,1306,1093,2709,1046,677,191,680,2717,150,2849,1100,660,1100,1100,1100,1041,2832,1097,119,119,151,200,2832,1100,1100,1100,1100,130,1097,119,1108,677,2699,2708,95,199,139,2701,2707,668,202,104,104,195,141,151,2146,2146,1400,1344,1101,670,1309,1362,1443,1285,2165,1287,1309,1102,1109,1322,2162,1110,1296,1107,1316,2704,138,1066,2899,1046,1029,1039,2892,1090,159,1286,1109,138,1286,1303,1303,1305,1305,1320,1304,1416,2154,1416,2165
ERQ0278,96,111,154,653,154,0,0,1061,1,1062,654,113,1062,1061,1063,109,109,0,654,1062,139,1062,7,1062,1062,1062,654,1062,96,165,112,166,155,0,1062,152,1061,0,107,0,1,1068,1068,96,96,97,96,96,2698,1238,662,699,129,160,680,162,140,1019,2865,140,2935,2706,163,1016,1066,1083,1431,3167,112,123,1075,2886,1,112,112,2890,2890,680,2885,146,2697,2697,2878,2847,0,686,1011,1289,2891,1297,1077,2698,1026,671,160,672,2707,151,2832,1061,654,1064,1064,1064,1039,2817,1061,113,113,112,181,2817,1064,1064,1064,1061,145,1059,113,1068,671,2692,2697,116,180,152,2694,2698,668,183,147,124,164,146,112,2129,2129,1377,1344,1082,666,1301,1365,1432,1278,2146,1277,1301,1083,1070,1327,2145,1072,1287,1067,1310,2694,153,1055,2883,1028,1009,1016,2876,1049,144,1292,1066,153,1292,1284,1284,1284,1284,1325,1281,1403,2135,1394,2146
ERQ0310,97,112,155,654,155,1,1,1062,2,1063,655,114,1063,1062,1064,110,110,1,655,1063,140,1063,8,1063,1063,1063,655,1063,97,166,113,167,156,1,1063,153,1062,1,108,1,0,1069,1069,97,97,98,97,97,2699,1239,663,700,130,161,681,163,141,1020,2866,141,2936,2707,164,1017,1067,1084,1432,3168,113,124,1076,2887,2,113,113,2891,2891,681,2886,147,2698,2698,2879,2848,1,687,1012,1290,2892,1298,1078,2699,1027,672,161,673,2708,152,2833,1062,655,1065,1065,1065,1040,2818,1062,114,114,113,182,2818,1065,1065,1065,1062,146,1060,114,1069,672,2693,2698,117,181,153,2695,2699,669,184,148,125,165,147,113,2130,2130,1378,1345,1083,667,1302,1366,1433,1279,2147,1278,1302,1084,1071,1328,2146,1073,1288,1068,1311,2695,154,1056,2884,1029,1010,1017,2877,1050,145,1293,1067,154,1293,1285,1285,1285,1285,1326,1282,1404,2136,1395,2147
ERQ0572,1070,1077,1095,1039,1095,1068,1068,189,1069,190,1040,1096,190,189,162,1093,1093,1068,1040,190,1090,190,1075,190,190,190,1040,190,1070,1091,1078,1092,1095,1068,190,1091,189,1068,1085,1068,1069,0,185,1070,1070,1071,1070,1070,2726,1259,1054,1048,1086,1087,1044,1102,1079,898,2889,1079,2979,2741,1103,879,174,171,1596,3229,1095,1086,155,2937,1067,1095,1095,2906,2906,1057,2905,1074,2725,2725,2907,2870,1068,1038,880,1320,2907,1320,166,2726,893,1043,1100,1055,2740,1098,2870,189,1040,190,190,190,915,2821,200,1095,1095,1095,1104,2821,190,190,190,189,1088,184,1095,192,1043,2736,2725,1076,1103,1091,2738,2727,1038,1106,1090,1091,1104,1074,1095,2147,2145,1591,1541,164,1041,1316,1568,1597,1319,2159,1311,1316,165,199,1542,2159,185,1300,174,1349,2728,1094,1193,2911,904,879,879,2901,181,1079,1548,181,1094,1548,1565,1565,1557,1557,1540,1570,1574,2150,1594,2160
ERQ0672,1093,1098,1112,1068,1112,1068,1068,150,1069,151,1069,1096,151,150,161,1091,1091,1068,1069,151,1109,151,1075,151,151,151,1069,151,1093,1093,1099,1094,1093,1068,151,1110,150,1068,1106,1068,1069,185,0,1093,1093,1094,1093,1093,2745,1288,1075,1080,1107,1087,1073,1104,1098,891,2890,1098,2994,2757,1105,882,152,172,1588,3237,1095,1105,173,2937,1067,1095,1095,2911,2911,1077,2910,1093,2748,2748,2908,2868,1068,1068,878,1328,2912,1336,170,2749,893,1071,1102,1086,2758,1117,2869,150,1069,149,149,149,939,2799,155,1093,1093,1095,1114,2799,149,149,149,150,1107,142,1093,147,1071,2752,2748,1097,1113,1110,2754,2743,1067,1116,1107,1110,1106,1093,1095,2163,2160,1589,1557,149,1065,1327,1591,1589,1337,2178,1323,1327,150,134,1566,2172,134,1313,148,1363,2749,1111,1183,2912,906,881,882,2898,143,1090,1567,132,1111,1567,1557,1557,1549,1549,1564,1562,1569,2169,1593,2179
ERQ0678,2,105,124,652,124,96,96,1082,97,1083,653,143,1083,1082,1084,134,134,96,653,1083,145,1083,103,1083,1083,1083,653,1083,2,169,98,170,153,96,1083,144,1082,96,111,96,97,1070,1093,0,0,1,0,0,2719,1245,671,702,121,164,677,171,142,1039,2870,142,2950,2723,172,1033,1077,1087,1458,3174,142,125,1082,2905,95,142,142,2893,2893,685,2890,144,2714,2714,2883,2856,96,681,1030,1294,2894,1299,1078,2715,1044,672,169,677,2724,149,2841,1082,653,1087,1087,1087,1044,2819,1084,138,138,142,175,2819,1087,1087,1087,1082,115,1082,138,1093,672,2705,2714,104,174,144,2707,2713,663,177,149,137,173,144,142,2145,2145,1402,1346,1088,663,1301,1371,1459,1284,2160,1283,1301,1089,1093,1328,2161,1095,1293,1094,1319,2710,123,1072,2888,1044,1023,1033,2881,1072,142,1297,1093,123,1297,1312,1312,1310,1310,1326,1307,1432,2151,1421,2160
ERQ0681,2,105,124,652,124,96,96,1082,97,1083,653,143,1083,1082,1084,134,134,96,653,1083,145,1083,103,1083,1083,1083,653,1083,2,169,98,170,153,96,1083,144,1082,96,111,96,97,1070,1093,0,0,1,0,0,2719,1245,671,702,121,164,677,171,142,1039,2870,142,2950,2723,172,1033,1077,1087,1458,3174,142,125,1082,2905,95,142,142,2893,2893,685,2890,144,2714,2714,2883,2856,96,681,1030,1294,2894,1299,1078,2715,1044,672,169,677,2724,149,2841,1082,653,1087,1087,1087,1044,2819,1084,138,138,142,175,2819,1087,1087,1087,1082,115,1082,138,1093,672,2705,2714,104,174,144,2707,2713,663,177,149,137,173,144,142,2145,2145,1402,1346,1088,663,1301,1371,1459,1284,2160,1283,1301,1089,1093,1328,2161,1095,1293,1094,1319,2710,123,1072,2888,1044,1023,1033,2881,1072,142,1297,1093,123,1297,1312,1312,1310,1310,1326,1307,1432,2151,1421,2160
ERQ0682,3,106,125,653,125,97,97,1083,98,1084,654,144,1084,1083,1085,135,135,97,654,1084,146,1084,104,1084,1084,1084,654,1084,3,170,99,171,154,97,1084,145,1083,97,112,97,98,1071,1094,1,1,0,1,1,2720,1246,672,703,122,165,678,172,143,1040,2871,143,2951,2724,173,1034,1078,1088,1459,3175,143,126,1083,2906,96,143,143,2894,2894,686,2891,145,2715,2715,2884,2857,97,682,1031,1295,2895,1300,1079,2716,1045,673,170,678,2725,150,2842,1083,654,1088,1088,1088,1045,2820,1085,139,139,143,176,2820,1088,1088,1088,1083,116,1083,139,1094,673,2706,2715,105,175,145,2708,2714,664,178,150,138,174,145,143,2146,2146,1403,1347,1089,664,1302,1372,1460,1285,2161,1284,1302,1090,1094,1329,2162,1096,1294,1095,1320,2711,124,1073,2889,1045,1024,1034,2882,1073,143,1298,1094,124,1298,1313,1313,1311,1311,1327,1308,1433,2152,1422,2161
ERQ0685,2,105,124,652,124,96,96,1082,97,1083,653,143,1083,1082,1084,134,134,96,653,1083,145,1083,103,1083,1083,1083,653,1083,2,169,98,170,153,96,1083,144,1082,96,111,96,97,1070,1093,0,0,1,0,0,2719,1245,671,702,121,164,677,171,142,1039,2870,142,2950,2723,172,1033,1077,1087,1458,3174,142,125,1082,2905,95,142,142,2893,2893,685,2890,144,2714,2714,2883,2856,96,681,1030,1294,2894,1299,1078,2715,1044,672,169,677,2724,149,2841,1082,653,1087,1087,1087,1044,2819,1084,138,138,142,175,2819,1087,1087,1087,1082,115,1082,138,1093,672,2705,2714,104,174,144,2707,2713,663,177,149,137,173,144,142,2145,2145,1402,1346,1088,663,1301,1371,1459,1284,2160,1283,1301,1089,1093,1328,2161,1095,1293,1094,1319,2710,123,1072,2888,1044,1023,1033,2881,1072,142,1297,1093,123,1297,1312,1312,1310,1310,1326,1307,1432,2151,1421,2160
ERQ0689,2,105,124,652,124,96,96,1082,97,1083,653,143,1083,1082,1084,134,134,96,653,1083,145,1083,103,1083,1083,1083,653,1083,2,169,98,170,153,96,1083,144,1082,96,111,96,97,1070,1093,0,0,1,0,0,2719,1245,671,702,121,164,677,171,142,1039,2870,142,2950,2723,172,1033,1077,1087,1458,3174,142,125,1082,2905,95,142,142,2893,2893,685,2890,144,2714,2714,2883,2856,96,681,1030,1294,2894,1299,1078,2715,1044,672,169,677,2724,149,2841,1082,653,1087,1087,1087,1044,2819,1084,138,138,142,175,2819,1087,1087,1087,1082,115,1082,138,1093,672,2705,2714,104,174,144,2707,2713,663,177,149,137,173,144,142,2145,2145,1402,1346,1088,663,1301,1371,1459,1284,2160,1283,1301,1089,1093,1328,2161,1095,1293,1094,1319,2710,123,1072,2888,1044,1023,1033,2881,1072,142,1297,1093,123,1297,1312,1312,1310,1310,1326,1307,1432,2151,1421,2160
GCF_000018045,2719,2710,2722,2677,2722,2698,2698,2741,2699,2742,2678,2732,2741,2741,2731,2710,2710,2698,2678,2741,2711,2741,2704,2742,2742,2742,2678,2741,2719,2730,2714,2731,2722,2698,2742,2699,2741,2698,2715,2698,2699,2726,2745,2719,2719,2720,2719,2719,0,2623,2682,2681,2721,2720,2690,2720,2723,2684,2624,2723,2690,152,2721,2674,2736,2748,2782,2773,2731,2717,2724,2685,2697,2731,2731,2605,2605,2678,2614,2715,143,143,2610,2554,2698,2685,2682,2687,2606,2680,2732,144,2678,2681,2720,2685,153,2712,2542,2741,2678,2732,2732,2732,2722,2625,2732,2716,2716,2731,2747,2625,2732,2732,2732,2741,2721,2734,2716,2736,2681,151,143,2710,2746,2699,151,126,2691,2749,2725,2713,2722,2715,2731,2866,2879,2766,2760,2744,2685,2681,2755,2783,2676,2879,2688,2681,2745,2749,2738,2868,2751,2682,2748,2674,155,2721,2776,2629,2703,2672,2674,2621,2736,2711,2776,2743,2721,2776,2746,2746,2744,2744,2736,2737,2774,2872,2753,2878
